route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10612,1_merged_1235633,1178071,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178072,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89088,120085
10612,1_merged_1235633,1178073,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178074,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178075,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89089,120085
10612,1_merged_1235633,1178076,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89084,120085
10612,1_merged_1235633,1178077,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178078,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89090,120085
10612,1_merged_1235633,1178079,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89085,120085
10612,1_merged_1235633,1178080,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178081,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
10612,1_merged_1235633,1178082,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178083,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89088,120085
10612,1_merged_1235633,1178084,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178085,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178086,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89084,120085
10612,1_merged_1235633,1178087,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89009,120085
10612,1_merged_1235633,1178088,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178089,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178090,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178091,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89092,120085
10612,1_merged_1235633,1178092,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178093,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178094,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178095,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178096,46 - VINE ST-Downtown Hartford,1,b_89093,120086
10612,1_merged_1235633,1178097,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178098,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178099,46 - VINE ST-Downtown Hartford,1,b_89091,120086
10612,1_merged_1235633,1178100,46 - VINE ST-Downtown Hartford,1,b_89092,120086
10612,1_merged_1235633,1178101,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178102,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178103,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178104,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178105,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178106,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178107,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178108,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178109,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178110,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178111,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178112,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178113,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178114,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178115,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178116,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178117,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178118,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178119,46 - VINE ST-Downtown Hartford,1,b_89085,120086
10612,1_merged_1235633,1178120,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178121,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178122,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178123,46 - VINE ST-Downtown Hartford,1,b_89088,120086
